,four/aLogic,four/aLogicNegative,four/aLogicNegative1,four/aLogicNegative2,four/aStructure,four/b1Logic,four/bLogic,four/bStructure,four/cLogic,four/cStructure,four/forArithmetic,four/forArray,three/aLogic,three/aLogicNegative,three/aLogicNegative1,three/aLogicNegative2,three/aStructure,three/b1Logic,three/bLogic,three/bStructure,three/cLogic,three/cStructure,three/forArithmetic,three/forArray,two/aLogic,two/aLogicNegative,two/aLogicNegative1,two/aLogicNegative2,two/aStructure,two/bLogic,two/bStructure,two/forArithmetic,two/forArray,special/forArr0,special/forArr1,special/forArr2,special/forArr3,special/forArr4,special/forArr5,special/forArr6
1470034834661,,,,22466.49,,,,,,,,,,,23878.76,,,,,,,,,,,14091.485,,,,,,,,,18034.995,,,,,
1469979492720,,,,,,,,,,,58478.0899999999,74977.565,,,,,31918.455,,,,,,87509.7,,,,,,,,,63573.76,49334.7950000002,,,,,31429.88,,
1470033968128,,,,,,,,,,,,,,24917.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1470030148340,,,,,18422.4300000001,,,,,15834.825,,,,,,,11066.92,,,,,,70725.42,30296.97,,,,,,,,64990.175,74999.91,16016.7,,,,,18701.185,
1470039180999,,,,,,,,,,,,,6808.41999999993,13488.9100000001,,,,,,,,,,,,,52566.1150000002,,,,,,,53341.4199999999,,,,,,
1469966925209,18930.36,,,,,31978.58,39531.495,,,,,,13527.925,,,,21639.16,19855.135,,35174.255,,22350.895,,,13273.525,,,,,,14969.42,,,32385.955,,14648.465,,,,
1469965176784,21415.41,49180.44,,,,,,,,,,,50814.155,26432.2549999999,46151.08,45230.14,,,,,,,,,,,,24976.3099999999,,,,,,,36062.955,14074.09,,8968.87000000011,,
1469966777615,18490,19224,,,,,,,,,,,12452.005,14723.995,15894.005,41036.005,,,,,,,,,,9428.99999999994,27602,,,,,,,,14990,,11029,,21788,
1470042449383,,,,,34249.455,,,,,35446.015,,,,,,,7480.255,,,,,15046.03,68298.45,60629.15,,,,,,,,33180.39,33947.95,37536.25,,20075.21,,,,17009.98
1465904530719,4066.5,,,6194.82500000007,,,,9516.40999999997,10262.87,,,31343.77,7560.20500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465909862067,41174.3700000001,48730.3749999995,39657.0449999999,28156.8049999992,56955.9200000004,53038.3399999999,37588.0249999999,41067.835,,,50260.2149999999,35541.9250000003,36369.8850000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964851207,21925.485,14781.785,,,,,,,,,,,22620.09,18153.75,19860.58,22187.16,,,,,,,,,24388.14,20475.22,,,,,,,,,,12016.435,,,,
1470040989156,,26889.5049999999,,,,,,,,,,,19381.4450000001,19733.08,28503.705,31262.88,,,,,,,,,,46400.3,,15469.46,,,,,,,,17174.975,,21143.29,,
1465907962266,12808.275,,14285.885,,11300.365,35745.46,14719.41,18453.105,42221.905,,10089.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470014983204,,,,,15098.23,,,,,,,,,,,,,,,,,20022.935,,28533.32,,,,,,,,52170.3149999999,80628.815,9416.93500000003,,,3105.01500000001,,,
1470036414441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469971782505,,,,,,,,,,,65958.935,61585.605,,,,,15044.22,,,,,38303.63,44454.34,,,,,,,,,,27142.3950000001,9478.7,,22653.615,,,,
1470301957508,17630.9999999999,20981,,,,,,,,,,,14899,12015.995,,15755,,,,,,,,,,14071.0000000001,20592.9999999999,,,,,,,32614,,10926.0000000001,16042,,,
1465904941383,50335.6300000001,28075.955,16755.13,,32925.545,28738.005,39802.27,18641.9,,55380.335,12703.995,11369.58,30256.115,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470031516075,,,,,,,,,,,,,51261.475,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465908850357,,,21717.4700000002,24368.1099999999,33598.6200000001,15499.3900000006,,18966.73,,,35469.9399999999,7301.25499999989,24246.2350000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470035668684,,,3523.42000000004,,,,,,,,,,44438.575,1246.09000000003,,,,,,,,,,,,,,3253.69999999998,,,,,,10974.43,,,,,,17068.6649999999
1470224079010,29201.9949999999,,,,,36232,,,,,,,18668.005,,,,11521.0049999999,36933.995,,17835.9950000001,27722,29120,,,12948.995,,,,,31044.9999999999,,,,10705,,10862.0049999999,20256.0049999999,,,
1470026564191,23802.0849999998,,,,,,,,,,,,15706.105,26056.16,35172.535,27761.45,,,,,,,,,,,,44258.68,,,,,,31080.99,,,,,,27180.08
1470034371096,8490.92999999999,,,,,,,17133.56,,,,,19425.975,,,,14079.06,17178.69,,18748.25,19859.235,13600.215,,,8391.08500000001,,,,,,,,,13118.79,,,,7874.795,,18217.125
1470046252051,,,,33060.73,,,,,,,,,54803.96,49035.45,45985.46,,,,,,,,,,,16656.755,49667.075,,,,,,,,,,,,23545.485,
1470070261841,,20041.935,,,,,,,,,,,18214.215,10684.145,34784.48,38324.345,,,,,,,,,44712.745,,,16728.37,,,,,,,19579.87,,,,,13013.6
1470144330761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469999513507,,,,,8207.245,,,,,5997,,,,,,,15650.55,,,,,25174.06,9827.45000000001,19005.33,,,,,7342.39000000001,,,,10898.405,35608.825,,8409.80500000002,,,13197.97,
1469994041212,,,,,18154.4,,,,,17872.535,,,,,,,,,,,,11261.3,84731.3750000001,31465.2349999999,,,,,,,,45199.525,23659.69,6218.79500000004,,,,,9379.98500000004,12444.3649999999
1465976579462,25521.9400000001,36587.205,30017.845,26839.5250000001,31911.455,28970.14,48909.2499999999,42280.8150000002,,50918.9199999999,15141.65,21700.735,33943.465,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470031400405,,,,,,,,,,,,,14978.12,21082.945,,16377.45,,,,,,,,,,21409.395,30490.39,,,,,,,13380.93,,,21417.525,,,13907.31
1470039782348,,,,,,,,,,,,,,,,,,,,,,,,,12433,,,,,,,,,,9590.00000000001,,,,,
1470118067818,,,,,9967.98500000002,,,,,,,,,,,,9664.07499999998,,,,,9719.885,52749.92,24760.08,,,,,9114.29,,,,70518.8,,6919.16,6512.09,,6225.28,,
1470117139962,,,,15142.14,,,,,,,,,17116.425,,26671.26,29801.42,,,,,,,,,,,14814.7700000001,,,,,,,,10143.285,,,,,
1470029060299,,,23801.26,,,,,,,,,,24237.31,22149.2750000001,32705.695,24041.99,,,,,,,,,,,19401.765,15208.54,,,,,,,,,,11520.6,,
1470035456998,,,,,,,,,,,,,15625.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469963784435,,,,,,,,,,,,,16974.105,,,,,40611.885,32632.565,,,,,,17179.8799999999,,,,,,46250.735,,,,,,,,24385.6349999999,
1469964816087,,,,,,,,,,19157.335,14814.8,,,,,,46128.605,,,,,18287.82,,,,,,,,,,41201.685,,9538.22499999998,,,7328.875,,,
1470120898716,,25928.515,,,,,,,,,,,23926.91,12302.38,25797.435,13351.54,,,,,,,,,,,31541.535,17287.225,,,,,,,,,,20804.025,,9209.76000000001
1470122369905,,,,29619.99,,,,,,,,,17513.9299999999,28685.1850000001,,,,,,,,,,,13610.8199999998,16746.2299999995,,,,,,,,37111.0649999999,,10037.4249999998,,,,
1467558385125,,,,,,,,,,,78501.675,,,,17658.17,,,,,,23454.565,,48279.4199999999,,29289.985,,,,,,,30940.015,,,,,,,,
1469962494238,,17611.23,12402.25,,,,,,,,,,17866.53,32530.325,12789.085,,,,,,,,,,,,13234.17,13233.79,,,,,,,,,24450.655,,,
1469972489804,,,,21312.89,,,,,,,,,13553.635,43364.25,43074.945,17103.205,,,,,,,,,,,,14592.1199999999,,,,,,,,,,,22662.36,
1470045861798,,,,,,,,,,,,,,,6611.54999999999,33129.785,,,,,,,,,,,,10335.24,,,,,,7224.13500000001,,,,10224.405,,
