,four/aLogic,four/aLogicNegative,four/aLogicNegative1,four/aLogicNegative2,four/aStructure,four/b1Logic,four/bLogic,four/bStructure,four/cLogic,four/cStructure,four/forArithmetic,four/forArray,three/aLogic,three/aLogicNegative,three/aLogicNegative1,three/aLogicNegative2,three/aStructure,three/b1Logic,three/bLogic,three/bStructure,three/cLogic,three/cStructure,three/forArithmetic,three/forArray,two/aLogic,two/aLogicNegative,two/aLogicNegative1,two/aLogicNegative2,two/aStructure,two/bLogic,two/bStructure,two/forArithmetic,two/forArray,special/forArr0,special/forArr1,special/forArr2,special/forArr3,special/forArr4,special/forArr5,special/forArr6
1470034834661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25015.84
1469979492720,,,,,,,,,,,,,,,,,,,,,,49611.97,,31066.9450000001,,,,,,,,,,,15693.6449999999,,,,,33842.565
1470033968128,,,,,,,,,,,,,,,,37472.44,,,,,,,,,,,,,,,,,,,,,,,,
1470030148340,,,,,,,,,,,,,,,,,,,,,,20479.02,,,,,,,,,,,,,,12045.845,,,,
1470039180999,,30351.04,59000.1400000001,,,,,,,,,,,,19553.8400000001,6921.96999999997,,,,,,,,,,11721.2999999998,,,,,,,,,,,,,34945.7350000001,5457.76499999966
1469966925209,,,,,,,,,,,,,,,,,,,14640.26,,15065.86,,,,,,,,,,,,,,,,,,,23097.595
1469965176784,,,,,,,,,,,,,,,,,,,,,,,,,,,33557.745,,,,,,,,,,,,,
1469966777615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470042449383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465904530719,,4560.26000000007,39668.485,,7302.92500000005,6857.23000000004,11593.435,,,54818.5,7393.80499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465909862067,,,,,,,,,59996.4500000002,58180.2850000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469964851207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40517.44,,,,,,10841.98
1470040989156,,,22786.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28999.3149999999,,,,,
1465907962266,,21049.555,,14072.235,,,,,,41654.35,,21440.045,7912.19999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470014983204,,,,,,,,,,26580.075,,,,,,,24684.805,,,,,,22642.03,,,,,,,,,,,,,,,20041.085,,
1470036414441,,,11077,,,,,,,,,,,,1626.99999999997,,,,,,,,,,,,,,,,,,,,1345,,15036,,1988.99499999997,
1469971782505,,,,,,,,,,,,,,,,,,,,,,,,24727.8149999999,,,,,,,,75881.45,,,,,,10968.965,,
1470301957508,,,,,,,,,,,,,,,15207,,,,,,,,,,,,,,,,,,,,,,,,,
1465904941383,,,,29116.46,,,,,59996.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470031516075,,,29129.17,35631.69,,,,,,,,,,,,33276.745,,,,,,,,,,,,,,,,,,,,,,,,
1465908850357,16509.77,28942.5650000004,,,,,23663.8399999999,,59001.3100000001,57024.1400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470035668684,,2230.95499999999,,,,,,,,,,,,,7758.60000000001,18351.14,,,,,,,,,,25860.385,,,,,,,,,,27955.51,,,,
1470224079010,,,,,,,60002.0049999999,,,,,,,,,,,,24066.0050000001,,,,,,,,,,,,,,,,,,,,,
1470026564191,,23276.64,,,,,,,,,,,,,,,,,,,,,,,14944.0700000001,,,,,,,,,,,38109.76,,,,
1470034371096,,,,,,,,,,,,,,,,,,,14791.335,,,,,,,,,,,,59665.935,,,,,,,,,
1470046252051,,,37760.99,,,,,,,,,,,,,39506.93,,,,,,,,,,,,,,,,,,,19809.495,,,35473.655,,
1470070261841,60028.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23477.37,,,
1470144330761,,,,,,,,,,,,,,20120.705,,,,,,,,,,,,6665.26000000001,,,,,,,,,,,,,,
1469999513507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469994041212,,,,,,,,,,,,,,,,,25787.125,,,,,,,,,,,,,,,,,,,,,,,
1465976579462,,,,,,,,,54007.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
